g,e
0.10209557612403408, 0.07090103397341263
0.2499388967408045, 0.17060561299852317
0.41127142599066957, 0.2703101920236337
0.5858939141153847, 0.40694239290989564
0.7338966345387536, 0.4771048744460864
0.922127881151507, 0.5915805022156575
1.110438827667557, 0.6912850812407676
1.2584216231150993, 0.7651403249630722
1.5678764226432715, 0.9128508124076813
1.823493937494014, 1.0384047267355987
2.133147986780445, 1.1491875923190547
2.308149049445822, 1.215657311669128
2.5100886794257438, 1.2895125553914344
2.7390067266718585, 1.3633677991137425
2.900618205583257, 1.4113737075332389
3.048760400837402, 1.4556868537666237
3.210371879748786, 1.5036927621861156
3.4932467615272493, 1.5775480059084166
3.7627121345759313, 1.6366322008862615
4.045606941330245, 1.706794682422454
4.463353984463815, 1.7843426883308675
4.786776192044886, 1.8434268833087142
5.164135309182491, 1.9062038404726738
5.541514351295916, 1.965288035450516
5.8919349011189865, 2.0206794682422458
6.282902776744624, 2.061299852289511
6.619933742813727, 2.0982274741506637
6.862580098402809, 2.127769571639583
7.1052463789677365, 2.1536189069423908
7.374891076798834, 2.1794682422451994
7.617597207315388, 2.197932053175775
7.86028341285612, 2.220088626292467
8.21084343750997, 2.249630723781388
8.50746655260725, 2.2754800590841944
8.898534053112016, 2.297636632200886
9.26258328639895, 2.327178729689808
9.559246251447881, 2.3456425406203842
9.855889291520992, 2.3677991137370755
10.139102897888481, 2.378877400295421
10.368379594699427, 2.386262924667651
10.70549026067182, 2.408419497784343
11.00215322572075, 2.4268833087149186
11.339343591596442, 2.434268833087149
11.663004898887387, 2.4490398818316104
11.986666206178334, 2.463810930576071
12.2833490962031, 2.478581979320532
12.512625793014031, 2.485967503692762
12.795839399381531, 2.497045790251108
13.173477466180675, 2.5081240768094535
13.470180281181257, 2.519202363367799
13.766843246230195, 2.5376661742983755
