x,density
-3.5,0.002788001076392335
-3.49,0.0029441339890093677
-3.48,0.003108278697089278
-3.47,0.003280799681842155
-3.46,0.003462075299130946
-3.45,0.0036524981576128465
-3.44,0.003852475498839874
-3.43,0.004062429578771201
-3.42,0.004282798050112758
-3.41,0.004514034344860422
-3.4,0.0047566080563850675
-3.39,0.005011005320355193
-3.38,0.005277729193754181
-3.37,0.005557300031204734
-3.36,0.0058502558577721115
-3.35,0.006157152737372976
-3.34,0.006478565135873649
-3.33,0.006815086277915888
-3.32,0.007167328496464849
-3.31,0.007535923574026506
-3.3,0.007921523074438592
-3.29,0.008324798664092086
-3.28,0.008746442421394836
-3.27,0.00918716713324504
-3.26,0.009647706577235016
-3.25,0.010128815788263548
-3.24,0.010631271308189347
-3.23,0.011155871417116655
-3.22,0.011703436344860376
-3.21,0.012274808461098971
-3.2,0.01287085244268215
-3.19,0.013492455416523018
-3.18,0.014140527076467943
-3.17,0.014815999772503705
-3.16,0.01551982857062724
-3.15,0.01625299128167557
-3.14,0.017016488457385168
-3.13,0.017811343351924906
-3.12,0.018638601847125864
-3.11,0.019499332339614518
-3.1,0.02039462558803576
-3.09,0.021325594518549748
-3.08,0.02229337398676883
-3.07,0.023299120494308937
-3.06,0.024344011858120893
-3.05,0.025429246830781693
-3.04,0.026556044669930303
-3.03,0.027725644655054033
-3.02,0.02893930554984699
-3.01,0.030198305008395467
-3.0,0.03150393892347136
-2.99,0.032857520715260775
-2.98,0.03426038055888712
-2.97,0.03571386454915968
-2.96,0.03721933380100998
-2.95,0.03877816348416612
-2.94,0.04039174179067135
-2.93,0.04206146883393809
-2.92,0.04378875547811039
-2.91,0.04557502209659893
-2.9,0.047421697258761525
-2.89,0.0493302163437915
-2.88,0.05130202008100946
-2.87,0.05333855301586205
-2.86,0.0554412619010662
-2.85,0.05761159401247496
-2.84,0.059850995389381545
-2.83,0.062160908999131306
-2.82,0.06454277282607282
-2.81,0.06699801788503874
-2.8,0.06952806615973278
-2.79,0.07213432846656147
-2.78,0.07481820224465309
-2.77,0.07758106927299369
-2.76,0.08042429331580969
-2.75,0.08334921769752814
-2.74,0.08635716280887579
-2.73,0.08944942354587365
-2.72,0.09262726668372291
-2.71,0.09589192818780402
-2.7,0.09924461046423448
-2.69,0.10268647955268781
-2.68,0.1062186622643889
-2.67,0.10984224326847832
-2.66,0.1135582621301548
-2.65,0.11736771030428142
-2.64,0.12127152808836732
-2.63,0.12527060153911088
-2.62,0.12936575935693115
-2.61,0.13355776974317257
-2.6,0.13784733723490744
-2.59,0.14223509952255248
-2.58,0.1467216242556886
-2.57,0.15130740584281474
-2.56,0.1559928622509263
-2.55,0.16077833181109763
-2.54,0.165664070036455
-2.53,0.17065024645917523
-2.52,0.17573694149334482
-2.51,0.1809241433307367
-2.5,0.18621174487677353
-2.49,0.1915995407341264
-2.48,0.1970872242415975
-2.47,0.20267438457608805
-2.46,0.20836050392565333
-2.45,0.21414495474173834
-2.44,0.2200269970788787
-2.43,0.22600577603023608
-2.42,0.23208031926744616
-2.41,0.23824953469336305
-2.4,0.24451220821632563
-2.39,0.2508670016546417
-2.38,0.2573124507800159
-2.37,0.26384696350864795
-2.36,0.27046881824872154
-2.35,0.277176162412979
-2.34,0.283967011105015
-2.33,0.2908392459878374
-2.32,0.2977906143431574
-2.31,0.30481872832971363
-2.3,0.31192106444882145
-2.29,0.31909496322510394
-2.28,0.32633762911020614
-2.27,0.33364613061701487
-2.26,0.34101740069167485
-2.25,0.3484482373303629
-2.24,0.3559353044475029
-2.23,0.3634751330017104
-2.22,0.3710641223854043
-2.21,0.3786985420836032
-2.2,0.38637453360697827
-2.19,0.39408811270377747
-2.18,0.40183517185471235
-2.17,0.4096114830544289
-2.16,0.4174127008825228
-2.15,0.42523436586661556
-2.14,0.4330719081392642
-2.13,0.4409206513899006
-2.12,0.4487758171123668
-2.11,0.4566325291478203
-2.1,0.46448581852218146
-2.09,0.47233062857647845
-2.08,0.4801618203877189
-2.07,0.487974178477152
-2.06,0.49576241680195376
-2.05,0.5035211850255803
-2.04,0.5112450750612014
-2.03,0.5189286278817834
-2.02,0.526566340589538
-2.01,0.5341526737365984
-2.0,0.5416820588879059
-1.99,0.5491489064164342
-1.98,0.5565476135200181
-1.97,0.5638725724481326
-1.96,0.5711181789261841
-1.95,0.5782788407639391
-1.94,0.5853489866339097
-1.93,0.5923230750046973
-1.92,0.5991956032134202
-1.91,0.6059611166606175
-1.9,0.61261421811019
-1.89,0.6191495770762449
-1.88,0.6255619392779501
-1.87,0.6318461361427764
-1.86,0.6379970943380464
-1.85,0.644009845309761
-1.84,0.6498795348074909
-1.83,0.6556014323732392
-1.82,0.6611709407720386
-1.81,0.6665836053412694
-1.8,0.6718351232356818
-1.79,0.6769213525444827
-1.78,0.6818383212568122
-1.77,0.6865822360516292
-1.76,0.691149490887939
-1.75,0.6955366753712666
-1.74,0.6997405828722839
-1.73,0.7037582183735208
-1.72,0.7075868060204112
-1.71,0.711223796352981
-1.7,0.7146668731949536
-1.69,0.7179139601773249
-1.68,0.7209632268740529
-1.67,0.7238130945279304
-1.66,0.7264622413454658
-1.65,0.728909607340241
-1.64,0.7311543987049709
-1.63,0.7331960916935056
-1.62,0.7350344359947882
-1.61,0.7366694575819602
-1.6,0.7381014610207682
-1.59,0.7393310312227726
-1.58,0.7403590346298985
-1.57,0.7411866198184027
-1.56,0.7418152175115088
-1.55,0.7422465399915785
-1.54,0.7424825799040677
-1.53,0.7425256084471487
-1.52,0.7423781729424473
-1.51,0.7420430937840281
