x,density
-3.5,0.0027912697324035574
-3.49,0.00294755800468247
-3.48,0.003111944542054536
-3.47,0.003284799787991229
-3.46,0.003466507299122447
-3.45,0.0036574640660209227
-3.44,0.0038580808478925407
-3.43,0.004068782521441314
-3.42,0.004290008443961293
-3.41,0.004522212830476687
-3.4,0.004765865144509987
-3.39,0.005021450501806991
-3.38,0.005289470086092612
-3.37,0.005570441575672681
-3.36,0.005864899579441188
-3.35,0.006173396080599628
-3.34,0.0064965008861515875
-3.33,0.006834802080002347
-3.32,0.007188906477275454
-3.31,0.007559440077256886
-3.3,0.00794704851219773
-3.29,0.008352397489048258
-3.28,0.008776173221065612
-3.27,0.00921908284613147
-3.26,0.009681854828542292
-3.25,0.010165239340988414
-3.24,0.010670008623425634
-3.23,0.01119695731555893
-3.22,0.011746902759708758
-3.21,0.012320685270908686
-3.2,0.012919168371192693
-3.19,0.01354323898516938
-3.18,0.01419380759414208
-3.17,0.014871808346223692
-3.16,0.015578199120102101
-3.15,0.0163139615403404
-3.14,0.017080100942334947
-3.13,0.017877646285309273
-3.12,0.018707650011976024
-3.11,0.019571187853766152
-3.1,0.020469358580777065
-3.09,0.021403283695853235
-3.08,0.022374107072448718
-3.07,0.02338299453615965
-3.06,0.024431133390018553
-3.05,0.025519731883840744
-3.04,0.026650018628074524
-3.03,0.02782324195274793
-3.02,0.029040669212213172
-3.01,0.03030358603646757
-3.0,0.03161329552987098
-2.99,0.03297111741809469
-2.98,0.034378387144103795
-2.97,0.035836454913925446
-2.96,0.03734668469285641
-2.95,0.03891045315264387
-2.94,0.04052914857002225
-2.93,0.04220416967680852
-2.92,0.043936924461560445
-2.91,0.04572882892258045
-2.9,0.04758130577182105
-2.89,0.04949578308899682
-2.88,0.05147369292497083
-2.87,0.05351646985323505
-2.86,0.05562554946806756
-2.85,0.05780236682772936
-2.84,0.060048354840857555
-2.83,0.06236494259403196
-2.82,0.06475355361834868
-2.81,0.0672156040927141
-2.8,0.06975250098151269
-2.79,0.07236564010426126
-2.78,0.07505640413490217
-2.77,0.07782616052844922
-2.76,0.0806762593728417
-2.75,0.08360803116404338
-2.74,0.08662278450267655
-2.73,0.08972180371077827
-2.72,0.09290634636763405
-2.71,0.09617764076406556
-2.7,0.09953688327500822
-2.69,0.10298523565075872
-2.68,0.10652382222781766
-2.67,0.11015372706088462
-2.66,0.11387599097819019
-2.65,0.11769160856304367
-2.64,0.12160152506515151
-2.63,0.1256066332459958
-2.62,0.12970777016325996
-2.61,0.13390571390003136
-2.6,0.13820118024518682
-2.59,0.14259481933210225
-2.58,0.1470872122434403
-2.57,0.15167886759045768
-2.56,0.1563702180758106
-2.55,0.16116161704942358
-2.54,0.16605333506744094
-2.53,0.17104555646472294
-2.52,0.17613837595170453
-2.51,0.18133179524671922
-2.5,0.18662571975511108
-2.49,0.19201995530659546
-2.48,0.19751420496239905
-2.47,0.20310806590367508
-2.46,0.20880102641263673
-2.45,0.21459246295764778
-2.44,0.22048163739331447
-2.43,0.22646769428628913
-2.42,0.23254965837716945
-2.41,0.23872643218843595
-2.4,0.2449967937879236
-2.39,0.251359394716823
-2.38,0.25781275809066057
-2.37,0.2643552768811554
-2.36,0.2709852123862966
-2.35,0.2777006928953688
-2.34,0.28449971255511763
-2.33,0.2913801304426517
-2.32,0.29833966985017235
-2.31,0.3053759177860451
-2.3,0.3124863246963184
-2.29,0.3196682044102879
-2.28,0.32691873431334706
-2.27,0.3342349557500005
-2.26,0.34161377465962084
-2.25,0.34905196244729464
-2.24,0.35654615709190934
-2.23,0.3640928644934931
-2.22,0.37168846006174916
-2.21,0.37932919054766634
-2.2,0.387011176120113
-2.19,0.3947304126893399
-2.18,0.40248277447939446
-2.17,0.41026401685153735
-2.16,0.41806977938082834
-2.15,0.4258955891881625
-2.14,0.43373686453011934
-2.13,0.44158891864901983
-2.12,0.44944696388565625
-2.11,0.45730611605710864
-2.1,0.4651613991019846
-2.09,0.4730077499953092
-2.08,0.4808400239350267
-2.07,0.48865299980180493
-2.06,0.49644138589340636
-2.05,0.5041998259344058
-2.04,0.5119229053614075
-2.03,0.5196051578831973
-2.02,0.5272410723144396
-2.01,0.5348250996805582
-2.0,0.5423516605903846
-1.99,0.5498151528720211
-1.98,0.5572099594660234
-1.97,0.5645304565686755
-1.96,0.5717710220167146
-1.95,0.5789260439031959
-1.94,0.5859899294127839
-1.93,0.5929571138628835
-1.92,0.5998220699355623
-1.91,0.6065793170833591
-1.9,0.6132234310904479
-1.89,0.6197490537689437
-1.88,0.6261509027685129
-1.87,0.6324237814757968
-1.86,0.638562588978808
-1.85,0.6445623300698669
-1.84,0.6504181252595113
-1.83,0.6561252207725691
-1.82,0.6616789984966133
-1.81,0.6670749858521219
-1.8,0.6723088655530439
-1.79,0.6773764852259628
-1.78,0.68227386685572
-1.77,0.6869972160253285
-1.76,0.6915429309180673
-1.75,0.6959076110499569
-1.74,0.7000880657013769
-1.73,0.7040813220172899
-1.72,0.7078846327464
-1.71,0.7114954835907744
-1.7,0.7149116001386352
-1.69,0.7181309543545279
-1.68,0.7211517706026521
-1.67,0.7239725311808289
-1.66,0.7265919813444461
-1.65,0.7290091338016378
-1.64,0.731223272662937
-1.63,0.7332339568307104
-1.62,0.7350410228157771
-1.61,0.7366445869706643
-1.6,0.7380450471311093
-1.59,0.7392430836594017
-1.58,0.7402396598852368
-1.57,0.7410360219416154
-1.56,0.7416336979953105
-1.55,0.742034496873073
-1.54,0.7422405060864902
-1.53,0.7422540892599633
-1.52,0.7420778829676717
