x,density
-3.5,8.03509611011342e-5
-3.49,8.448439163094577e-5
-3.48,8.884229513702238e-5
-3.47,9.34358244939143e-5
-3.46,9.827661795661125e-5
-3.45,0.0001033768162043822
-3.44,0.00010874907974730906
-3.43,0.00011440660668912533
-3.42,0.00012036315083892211
-3.41,0.00012663304016315616
-3.4,0.0001332311955682402
-3.39,0.0001401731500028024
-3.38,0.0001474750678674601
-3.37,0.00015515376471863065
-3.36,0.00016322672725163108
-3.35,0.00017171213354687633
-3.34,0.00018062887356164433
-3.33,0.00018999656984835156
-3.32,0.0001998355984788496
-3.31,0.00021016711015270972
-3.3,0.0002210130514658838
-3.29,0.00023239618631456702
-3.28,0.00024434011740743914
-3.27,0.0002568693078578444
-3.26,0.0002700091028257506
-3.25,0.00028378575117767924
-3.24,0.00029822642713105265
-3.23,0.00031335925184768814
-3.22,0.00032921331493940693
-3.21,0.00034581869584702997
-3.2,0.00036320648505218806
-3.19,0.00038140880507974453
-3.18,0.00040045883124674035
-3.17,0.0004203908121121919
-3.16,0.00044124008958020656
-3.15,0.00046304311860730047
-3.14,0.00048583748646306853
-3.13,0.0005096619314917753
-3.12,0.0005345563613207908
-3.11,0.0005605618704603076
-3.1,0.0005877207572372933
-3.09,0.0006160765400051763
-3.08,0.000645673972569472
-3.07,0.0006765590587683003
-3.06,0.00070877906614554
-3.05,0.0007423825386533764
-3.04,0.0007774193083200258
-3.03,0.0008139405058175963
-3.02,0.0008519985698644117
-3.01,0.0008916472553955766
-3.0,0.0009329416404351828
-2.99,0.0009759381316034638
-2.98,0.0010206944681920794
-2.97,0.0010672697247410608
-2.96,0.0011157243120512505
-2.95,0.001166119976566953
-2.94,0.0012185197980641013
-2.93,0.0012729881855808027
-2.92,0.001329590871528335
-2.91,0.0013883949039225052
-2.9,0.0014494686366775236
-2.89,0.0015128817179066321
-2.88,0.001578705076176943
-2.87,0.0016470109046686353
-2.86,0.001717872643192624
-2.85,0.0017913649580243174
-2.84,0.0018675637195158905
-2.83,0.0019465459774538172
-2.82,0.002028389934134184
-2.81,0.0021131749151334185
-2.8,0.0022009813377590393
-2.79,0.002291890677170762
-2.78,0.002385985430170704
-2.77,0.0024833490766680037
-2.76,0.0025840660388324146
-2.75,0.002688221637959636
-2.74,0.0027959020490810897
-2.73,0.00290719425336023
-2.72,0.003022185988328624
-2.71,0.0031409656960258167
-2.7,0.003263622469118656
-2.69,0.003390245995088472
-2.68,0.003520926498586771
-2.67,0.003655754682074094
-2.66,0.0037948216648702464
-2.65,0.003938218920759114
-2.64,0.004086038214305707
-2.63,0.004238371536059557
-2.62,0.00439531103683368
-2.61,0.004556948961265952
-2.6,0.004723377580885567
-2.59,0.0048946891269257805
-2.58,0.00507097572314101
-2.57,0.005252329318905143
-2.56,0.005438841622885511
-2.55,0.005630604037606473
-2.54,0.005827707595234314
-2.53,0.00603024289493478
-2.52,0.006238300042173213
-2.51,0.006451968590345554
-2.5,0.006671337485148192
-2.49,0.006896495012112217
-2.48,0.007127528747746174
-2.47,0.007364525514749696
-2.46,0.007607571341777012
-2.45,0.007856751428246026
-2.44,0.008112150114706188
-2.43,0.008373850859290943
-2.42,0.008641936220798441
-2.41,0.00891648784895296
-2.4,0.009197586482416737
-2.39,0.009485311955127662
-2.38,0.009779743211551376
-2.37,0.010080958331442418
-2.36,0.010389034564714338
-2.35,0.010704048377025141
-2.34,0.011026075506683957
-2.33,0.011355191033486634
-2.32,0.011691469460084807
-2.31,0.012034984806488123
-2.3,0.012385810718291883
-2.29,0.012744020589213104
-2.28,0.013109687698502634
-2.27,0.01348288536378793
-2.26,0.01386368710987825
-2.25,0.014252166854044764
-2.24,0.014648399108258906
-2.23,0.015052459198844969
-2.22,0.015464423503967376
-2.21,0.01588436970933747
-2.2,0.016312377082483242
-2.19,0.016748526765877864
-2.18,0.017192902089177668
-2.17,0.01764558890076302
-2.16,0.0181066759187187
-2.15,0.018576255101331138
-2.14,0.019054422037108
-2.13,0.01954127635426057
-2.12,0.02003692214951057
-2.11,0.020541468436006176
-2.1,0.021055029610045184
-2.09,0.021577725936220683
-2.08,0.022109684050507096
-2.07,0.022651037480712115
-2.06,0.023201927183619738
-2.05,0.02376250209804462
-2.04,0.02433291971291373
-2.03,0.0249133466493771
-2.02,0.025503959255840383
-2.01,0.02610494421469242
-2.0,0.026716499159382814
-1.99,0.027338833300385525
-1.98,0.02797216805845865
-1.97,0.028616737703488538
-1.96,0.029272789997079298
-1.95,0.029940586836923997
-1.94,0.03062040490086683
-1.93,0.03131253628843895
-1.92,0.03201728915752817
-1.91,0.03273498835371452
-1.9,0.03346597602968686
-1.89,0.03421061225203415
-1.88,0.03496927559258678
-1.87,0.03574236370137887
-1.86,0.03653029385818377
-1.85,0.0373335034994841
-1.84,0.03815245071763466
-1.83,0.03898761472888622
-1.82,0.03983949630686482
-1.81,0.04070861817801313
-1.8,0.04159552537545035
-1.79,0.04250078554764079
-1.78,0.04342498921822529
-1.77,0.04436874999332478
-1.76,0.04533270471262012
-1.75,0.04631751354048882
-1.74,0.04732385999348957
-1.73,0.04835245090051153
-1.72,0.04940401629192594
-1.71,0.05047930921413993
-1.7,0.051579105466010175
-1.69,0.05270420325366309
-1.68,0.053855422760360976
-1.67,0.05503360562818074
-1.66,0.05623961434839987
-1.65,0.05747433155764629
-1.64,0.058738659237037485
-1.63,0.06003351781173424
-1.62,0.06135984514854037
-1.61,0.06271859544942035
-1.6,0.06411073803905169
-1.59,0.0655372560448126
-1.58,0.06699914496788356
-1.57,0.06849741114446214
