n_basis,N,energy,n_fock,coupling
20,1,-0.46139025712428655,22800,-5.0
20,2,0.5659963204374039,22800,-5.0
20,3,0.7340411757542658,22800,-5.0
20,4,1.5937344278432866,22800,-5.0
20,5,1.6636825048383854,22800,-5.0
20,1,0.21161329392941305,22800,-4.5
20,2,1.2350739686684498,22800,-4.5
20,3,1.4001052740477542,22800,-4.5
20,4,2.2589968313316167,22800,-4.5
20,5,2.3349082619285397,22800,-4.5
20,1,0.862323553830406,22800,-4.0
20,2,1.8817569634371456,22800,-4.0
20,3,2.0434909474999228,22800,-4.0
20,4,2.901656317744209,22800,-4.0
20,5,2.981946668953176,22800,-4.0
20,1,1.4886650643442725,22800,-3.5
20,2,2.504113711775187,22800,-3.5
20,3,2.661539566333555,22800,-3.5
20,4,3.5199684885069655,22800,-3.5
20,5,3.6023670404648636,22800,-3.5
20,1,2.0884056622221467,22800,-3.0
20,2,3.1000670236058703,22800,-3.0
20,3,3.2512461379010436,22800,-3.0
20,4,4.112045848387357,22800,-3.0
20,5,4.1935781698192045,22800,-3.0
20,1,2.659192718240213,22800,-2.5
20,2,3.6674182739960672,22800,-2.5
20,3,3.809267586647996,22800,-2.5
20,4,4.675868280953942,22800,-2.5
20,5,4.752933168304008,22800,-2.5
20,1,3.1986201784421255,22800,-2.0
20,2,4.203901307923025,22800,-2.0
20,3,4.3319814414863655,22800,-2.0
20,4,5.209324442652376,22800,-2.0
20,5,5.277899287167368,22800,-2.0
20,1,3.7043358896678265,22800,-1.5
20,2,4.7072762464703795,22800,-1.5
20,3,4.815635082635687,22800,-1.5
20,4,5.710294043277018,22800,-1.5
20,5,5.766279951208454,22800,-1.5
20,1,4.174195116754474,22800,-1.0
20,2,5.175470165025586,22800,-1.0
20,3,5.256634939176804,22800,-1.0
20,4,6.176778156813156,22800,-1.0
20,5,6.216461548792823,22800,-1.0
20,1,4.606456491736407,22800,-0.5
20,2,5.606762833564713,22800,-0.5
20,3,5.652008355931715,22800,-0.5
20,4,6.607076987961506,22800,-0.5
20,5,6.627644570611199,22800,-0.5
20,1,5.000000000000004,22800,0.0
20,2,5.999999999999955,22800,0.0
20,3,6.000000000000037,22800,0.0
20,4,6.999999999999971,22800,0.0
20,5,7.000000000000004,22800,0.0
20,1,5.354526720368029,22800,0.5
20,2,6.3006394030009565,22800,0.5
20,3,6.354796839463546,22800,0.5
20,4,7.216628955023295,22800,0.5
20,5,7.300887807664206,22800,0.5
20,1,5.670687052983976,22800,1.0
20,2,6.5560189268716105,22800,1.0
20,3,6.671679433209816,22800,1.0
20,4,7.3799271599329925,22800,1.0
20,5,7.556880396279627,22800,1.0
20,1,5.950090804231686,22800,1.5
20,2,6.770088133740606,22800,1.5
20,3,6.9521153397435755,22800,1.5
20,4,7.501559873211719,22800,1.5
20,5,7.771744276042179,22800,1.5
20,1,6.195183323397748,22800,2.0
20,2,6.948015720976428,22800,2.0
20,3,7.198411867703833,22800,2.0
20,4,7.5924971536709895,22800,2.0
20,5,7.950507493093174,22800,2.0
20,1,6.409014679604562,22800,2.5
20,2,7.095395408331896,22800,2.5
20,3,7.413502721990267,22800,2.5
20,4,7.661427621728404,22800,2.5
20,5,7.999999999999844,22800,2.5
20,1,6.5949604763280725,22800,3.0
20,2,7.217586144887052,22800,3.0
20,3,7.600677797955718,22800,3.0
20,4,7.714647717717374,22800,3.0
20,5,7.999999999999963,22800,3.0
20,1,6.756457399827447,22800,3.5
20,2,7.319321570095254,22800,3.5
20,3,7.756548541293649,22800,3.5
20,4,7.763319286908322,22800,3.5
20,5,8.00000000000003,22800,3.5
20,1,6.896796979181236,22800,4.0
20,2,7.404567737061967,22800,4.0
20,3,7.7901637535490025,22800,4.0
20,4,7.904690399567498,22800,4.0
20,5,8.000000000000016,22800,4.0
20,1,7.018993078961071,22800,4.5
20,2,7.476541038490024,22800,4.5
20,3,7.81760189639053,22800,4.5
20,4,8.00000000000001,22800,4.5
20,5,8.027795646073947,22800,4.5
20,1,7.12571669724126,22800,5.0
20,2,7.537802461643119,22800,5.0
20,3,7.8403485691566495,22800,5.0
20,4,8.000000000000023,22800,5.0
20,5,8.135308729089694,22800,5.0
20,1,7.21928099159709,22800,5.5
20,2,7.5903736115500475,22800,5.5
20,3,7.859468201716043,22800,5.5
20,4,7.9999999999999885,22800,5.5
20,5,8.229552151791362,22800,5.5
20,1,7.301658055153409,22800,6.0
20,2,7.635846844497115,22800,6.0
20,3,7.875737066373967,22800,6.0
20,4,7.99999999999998,22800,6.0
20,5,8.312510275517859,22800,6.0
20,1,7.374512385863448,22800,6.5
20,2,7.675478910307242,22800,6.5
20,3,7.889731218680094,22800,6.5
20,4,7.999999999999959,22800,6.5
20,5,8.385860501283648,22800,6.5
20,1,7.43924068868187,22800,7.0
20,2,7.710266248436448,22800,7.0
20,3,7.901885261373145,22800,7.0
20,4,8.000000000000009,22800,7.0
20,5,8.451011812325891,22800,7.0
20,1,7.497011775095766,22800,7.5
20,2,7.741003768916902,22800,7.5
20,3,7.9125321753309095,22800,7.5
20,4,7.999999999999997,22800,7.5
20,5,8.509144078673232,22800,7.5
20,1,7.5488033021793415,22800,8.0
20,2,7.768330056438233,22800,8.0
20,3,7.9219307446846265,22800,8.0
20,4,7.999999999999994,22800,8.0
20,5,8.561244595633983,22800,8.0
20,1,7.595433988969087,22800,8.5
20,2,7.792761911297926,22800,8.5
20,3,7.930284744348706,22800,8.5
20,4,8.000000000000002,22800,8.5
20,5,8.608140314239455,22800,8.5
20,1,7.637591036231667,22800,9.0
20,2,7.8147207127519,22800,9.0
20,3,7.937756576077548,22800,9.0
20,4,7.999999999999974,22800,9.0
20,5,8.65052537911592,22800,9.0
20,1,7.675853034158362,22800,9.5
20,2,7.834552584386428,22800,9.5
20,3,7.9444771057670165,22800,9.5
20,4,7.999999999999999,22800,9.5
20,5,8.688984194577612,22800,9.5
20,1,7.710708883363065,22800,10.0
20,2,7.852543883762859,22800,10.0
20,3,7.9505528618281405,22800,10.0
20,4,8.000000000000007,22800,10.0
20,5,8.724010509997127,22800,10.0
20,1,7.742573319601931,22800,10.5
20,2,7.868933165700282,22800,10.5
20,3,7.956071373387553,22800,10.5
20,4,8.000000000000002,22800,10.5
20,5,8.75602309800581,22800,10.5
20,1,7.771799608919394,22800,11.0
20,2,7.883920479457562,22800,11.0
20,3,7.961105178852788,22800,11.0
20,4,8.000000000000048,22800,11.0
20,5,8.785378585203624,22800,11.0
20,1,7.798689917475694,22800,11.5
20,2,7.8976746417212125,22800,11.5
20,3,7.965714871428952,22800,11.5
20,4,8.000000000000016,22800,11.5
20,5,8.812381937853539,22800,11.5
20,1,7.823503786100435,22800,12.0
20,2,7.910338964631025,22800,12.0
20,3,7.969951438371002,22800,12.0
20,4,8.000000000000012,22800,12.0
20,5,8.837295033376977,22800,12.0
20,1,7.8464650670953215,22800,12.5
20,2,7.922035797612936,22800,12.5
20,3,7.9738580761959446,22800,12.5
20,4,8.000000000000023,22800,12.5
20,5,8.860343676968409,22800,12.5
20,1,7.867767615868617,22800,13.0
20,2,7.932870152747053,22800,13.0
20,3,7.9774716127981025,22800,13.0
20,4,7.999999999999981,22800,13.0
20,5,8.881723357800556,22800,13.0
20,1,7.887579974515145,22800,13.5
20,2,7.942932617497418,22800,13.5
20,3,7.980823631708025,22800,13.5
20,4,7.9999999999999565,22800,13.5
20,5,8.90160398316917,22800,13.5
20,1,7.906049238332767,22800,14.0
20,2,7.952301709709835,22800,14.0
20,3,7.983941368643909,22800,14.0
20,4,8.000000000000028,22800,14.0
20,5,8.920133780923898,22800,14.0
20,1,7.923304258394209,22800,14.5
20,2,7.961045793311743,22800,14.5
20,3,7.986848432860769,22800,14.5
20,4,7.999999999999991,22800,14.5
20,5,8.937442517179132,22800,14.5
20,1,7.939458301949235,22800,15.0
20,2,7.969224645823893,22800,15.0
20,3,7.989565393898776,22800,15.0
20,4,8.0,22800,15.0
20,5,8.953644124894941,22800,15.0
20,1,7.954611264211463,22800,15.5
20,2,7.976890748203194,22800,15.5
20,3,7.992110268805555,22800,15.5
20,4,7.99999999999999,22800,15.5
20,5,8.968838710658044,22800,15.5
20,1,7.968851486917165,22800,16.0
20,2,7.98409035194175,22800,16.0
20,3,7.994498956728781,22800,16.0
20,4,7.999999999999964,22800,16.0
20,5,8.983113045981458,22800,16.0
20,1,7.982257083348203,22800,16.5
20,2,7.990864366452452,22800,16.5
20,3,7.996745802817254,22800,16.5
20,4,7.999999999999998,22800,16.5
20,5,8.996509817466087,22800,16.5
20,1,7.994893304717378,22800,17.0
20,2,7.997249100658576,22800,17.0
20,3,7.9988678219502996,22800,17.0
20,4,8.000000000000018,22800,17.0
20,5,8.999999999999938,22800,17.0
20,1,7.999999999999984,22800,17.5
20,2,8.00084981471858,22800,17.5
20,3,8.003276885672278,22800,17.5
20,4,8.00684876812737,22800,17.5
20,5,9.000000000000027,22800,17.5
20,1,7.999999999999966,22800,18.0
20,2,8.002740428298868,22800,18.0
20,3,8.00897659999233,22800,18.0
20,4,8.018140535983905,22800,18.0
20,5,9.000000000000012,22800,18.0
20,1,7.999999999999996,22800,18.5
20,2,8.004527647685672,22800,18.5
20,3,8.014374114396922,22800,18.5
20,4,8.02883959589539,22800,18.5
20,5,9.00000000000001,22800,18.5
20,1,8.000000000000009,22800,19.0
20,2,8.00622154629784,22800,19.0
20,3,8.019492670367871,22800,19.0
20,4,8.038988940139307,22800,19.0
20,5,9.0,22800,19.0
20,1,8.00000000000002,22800,19.5
20,2,8.007829459515458,22800,19.5
20,3,8.024353203249156,22800,19.5
20,4,8.048629104116328,22800,19.5
20,5,9.00000000000001,22800,19.5
20,1,7.9999999999999725,22800,20.0
20,2,8.009357819183661,22800,20.0
20,3,8.028974619256127,22800,20.0
20,4,8.05779694462156,22800,20.0
20,5,9.000000000000007,22800,20.0
