nb,N,g,energy
0,1,-1.096165655738588,-0.9876237623762352
0,1,-1.013545179327508,-0.8762376237623766
0,1,-0.9037885562223238,-0.7722772277227721
0,1,-0.7664917743134483,-0.6311881188118811
0,1,-0.6432007455370128,-0.5346534653465351
0,1,-0.42395684073304096,-0.35643564356435853
0,1,-0.31403187924886033,-0.23391089108910812
0,1,-0.13606454497462916,-0.10767326732673332
0,1,0.041869121623805405,0.01485148514851442
0,1,0.17889656212628857,0.12623762376237657
0,1,0.3431611523502731,0.24133663366336666
0,1,0.5757037890949039,0.3861386138613856
0,1,0.7534354496385429,0.4863861386138617
0,1,1.0132489037804735,0.6386138613861387
0,1,1.1772104849222664,0.7202970297029707
0,1,1.5187353882287002,0.8836633663366333
0,1,1.8192530624117893,1.0247524752475248
0,1,2.1468395479373825,1.150990099009901
0,1,2.624381861472326,1.3143564356435649
0,1,2.9654017496417744,1.4220297029702968
0,1,3.674443001971582,1.61509900990099
0,1,4.165048373716589,1.7190594059405941
0,1,4.519333326150894,1.7896039603960396
0,1,5.0642783266357085,1.886138613861386
0,1,5.5546143569743265,1.9603960396039608
0,1,6.23557676768765,2.0569306930693068
0,1,6.780151423738674,2.1126237623762374
0,1,7.351963229511192,2.172029702970297
0,1,7.842063586119217,2.22029702970297
0,1,8.386503571467049,2.261138613861386
0,1,9.094231784440684,2.3094059405940595
0,1,9.801959997414322,2.3576732673267324
0,1,10.645705620616472,2.4059405940594063
0,1,11.339731089539857,2.443069306930693
0,1,11.92480795957724,2.4653465346534653
0,1,12.332994860965972,2.48019801980198
0,1,12.958876954071904,2.5024752475247527
0,1,13.394301005182129,2.5210396039603964
0,1,13.911301834753662,2.535891089108911
0,1,14.46910788739374,2.5507425742574257
0,1,14.94530349389672,2.5655940594059405
0,1,15.43510084142255,2.580445544554456
0,1,16.033745784806992,2.599009900990099
0,1,16.65956054256133,2.6138613861386144
0,1,17.190095777804107,2.6212871287128716
0,1,17.897520981695546,2.6361386138613865
0,1,18.400852734892634,2.643564356435644
0,1,18.931488973162814,2.6621287128712874
0,1,19.393948167939755,2.6621287128712874
0,1,20.04696640773982,2.6769801980198027
0,2,-1.7217784074381317,-0.9801980198019811
0,2,-1.6800978247988017,-0.8836633663366333
0,2,-1.5836062659584789,-0.7425742574257423
0,2,-1.446242148698003,-0.5940594059405946
0,2,-1.2949396136566858,-0.40841584158415856
0,2,-1.1436370786153693,-0.22277227722772253
0,2,-1.006340296706493,-0.08168316831683153
0,2,-0.9100507439209657,0.037128712871287384
0,2,-0.8137275234596375,0.15965346534653424
0,2,-0.5941806095734714,0.3712871287128716
0,2,-0.42934366886090114,0.5495049504950491
0,2,-0.2783441429017772,0.7017326732673266
0,2,-0.1001411348969512,0.853960396039604
0,2,0.11906910223122313,1.0284653465346536
0,2,0.39282097415399875,1.2178217821782176
0,2,0.6935069867160815,1.3774752475247527
